objectid,parentid,filename,title,creator,description,date,archival date,subject,latitude,longitude,source,donor,identifier,rights,standardized rights,item_type,format original,type,format,display_template,object_location,image_small,image_thumb
b4-newsarticles-014,,b4-NewsArticles-014.pdf,Former Big Creek workers dedicate historic barn,"Phillips, Roger",Article in the Star News about an old barn in Big Creek being placed on the National Register of Historic Places.,1998-08-06,6 August 1998,Big Creek; Frank Church River of No Return Payette National Forest; fire lookouts; Chamberlain Basin,45.127433,-115.324468,The Star News,,b4-NewsArticles-014,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-NewsArticles-014.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-newsarticles-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-newsarticles-014_th.jpg
twrs273,twrs249,eDeVliegCabinFootings.jpg,"Foundation beams, plywood & forms for the concrete pier footings are delivered.",Janet DeVlieg Pope,"Foundation beams, plywood & forms for the concrete pier footings are delivered.",,,DeVlieg Cabin; ,45.102587,-114.849884,Janet DeVlieg Pope,Janet DeVlieg Pope,eDeVliegCabinFootings,,,artifacts,photographs,Image;StillImage,image/jpeg,image,https://www.lib.uidaho.edu/digital/objects/twrs/eDeVliegCabinFootings.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/small/edevliegcabinfootings_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/edevliegcabinfootings_th.jpg
twrs612,,Cougars_4_Decades_ITWS2004.pdf,Four Decades of Cougar - Ungulate Dynamics in the Idaho Wilderness,"Akenson, J.; Akenson, H.; Quigley, H.; Hornocker, M.; Seidensticker, J.; Koehler, G.",Presentation,2004,2004,Wilbur Wiles;wolves; mountain lion; wildfire;bobcats,,,,,Cougars 4 Decades ITWS2004,,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/Cougars_4_Decades_ITWS2004.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/cougars_4_decades_itws2004_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/cougars_4_decades_itws2004_th.jpg
b08-payettenationalforestliterature48,,b08-PayetteNationalForestLiterature48.pdf,Fourteen Summers with the Payette National Forest,"Dustman, Bob;Dustman, Joyce","Written by Bob and Joyce Dustman, this document details the experiences of Bob Dustman's summers working in Big Creek and McCall from 1947-1960.",2006-11-10,10 November 2006,autobiography (genre);local history; rangers (forest); ranger stations;l Big Creek; Yellow Pine,45.44631401,-115.9175445,Bob Dustman,Taylor Ranch,b08-PayetteNationalForestLiterature48,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-PayetteNationalForestLiterature48.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-payettenationalforestliterature48_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-payettenationalforestliterature48_th.jpg
b10-077,,b10-077.pdf,Francois Payette,"Bean, Kolleen M.","Paper outlining a brief biography of Francois Payette, whom the Payette National Forest, Idaho, is named after.",1999-05,May 1999,"French-Canadian, trappers, hunting, fur trade",45.10333277,-114.850658,,Taylor Ranch,b10-077,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b10-077.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b10-077_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b10-077_th.jpg
b08-payettenationalforestliterature64,,b08-PayetteNationalForestLiterature64.pdf,Frank Church - River of No Return Wilderness: An Historical Chronology and Annotated Bibliography,"Preston, Peter","Compiled by Peter Preston, this document contains a chronology of the different locations, events, people, and cultures that occurred within the Frank Church - River of No Return Wilderness.",1999-03,March 1999,local history; chronologies (lists); national forests; annotated bibliographies,44.6791703,-114.4217642,Heritage Program,Taylor Ranch,b08-PayetteNationalForestLiterature64,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,correspondence,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b08-PayetteNationalForestLiterature64.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b08-payettenationalforestliterature64_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b08-payettenationalforestliterature64_th.jpg
b06-wildernessmanagement04,,b06-WildernessManagement04.pdf,Frank Church River of No Return Wilderness Management Plan,U.S. Department of Agriculture Forest Service,,1985-03-11,11 March 1985,ecology; land management,,,,Taylor Ranch,b06-WildernessManagement04,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessManagement04.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessmanagement04_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessmanagement04_th.jpg
b4-historicalaccounts-014,,b4-HistoricalAccounts-014.pdf,Frank Church-River of No Return Wilderness: An Historical Chronology and Annotated Bibliography,"Preston, Peter;U.S. Department of Agriculture Forest Service",Letter and enclosed publication of history and annotated bibliography of the Frank Church-River of No Return Wilderness,1999-03-01,1 March 1999,Frank Church River of No Return Thunder Mountain; Salmon River Mountains,45.10324947,-114.8506795,Peter Preston; USDA Forest Service,,b4-HistoricalAccounts-014,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-HistoricalAccounts-014.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-historicalaccounts-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-historicalaccounts-014_th.jpg
twrs286,,https://dirtbagdiaries.com/the-shorts-franked/,Franked,The Dirtbag Diaries,"“In the Frank Church—River of No Return Wilderness, getting “Franked” means waking up mid-summer to a foot of snow on your tent, or losing your sleeping bag to a rapid on the Middle Fork of the Salmon River,” writes Allison Fowle. And, when you're in the middle of the largest wilderness area in the lower 48, navigating the joys and perils of romance can be just as challenging.",2020,2020,podcast; Taylor Ranch Frank Church River of No Return Big Creek,,,,,,,,media,,Sound,link,record,https://dirtbagdiaries.com/the-shorts-franked/,,
b4-magazines-006,,b4-Magazines-006.pdf,Friends of Taylor Ranch Field Station Brochure,University of Idaho College of Natural Resources,Informational brochure on Taylor Ranch field station,2000,2000,Taylor Ranch Friends of Taylor Ranch; University of Idaho,45.10324947,-114.8506795,University of Idaho,,b4-Magazines-006,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Magazines-006.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-magazines-006_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-magazines-006_th.jpg
b4-correspondence-087,,b4-Correspondence-087.pdf,From from Frank,"Frank, Floyd W.;Akenson, James;Akenson, Holly A.;Akenson, Golda",Letter from Frank to Taylor Ranch managers in which the findings of a recent archaeological study of the Salmon River Mountains are discussed,1989-05-30,30 May 1989,Salmon River Mountains;whitebark pine; subsistence hunting,45.1032419,-114.8506688,Frank; Jim Akenson; Holly Akenson; Golda Akenson,,b4-Correspondence-087,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Correspondence-087.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-correspondence-087_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-correspondence-087_th.jpg
b4-magazines-001,,b4-Magazines-001.pdf,From the Frying Pan into the Fire,"Akenson, J. J.; Akenson, H. A.",Article on fire activity in the Frank Church River of No Return Wilderness drawing from Taylor Ranch Journals,2000,2000,Taylor Ranch Frank Church River of No Return wildfire,45.10324947,-114.8506795,Under Fire: The West is Burning,,b4-Magazines-001,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,magazine,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-Magazines-001.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-magazines-001_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-magazines-001_th.jpg
b9-031,,b9-031.pdf,"FSH 2709.11 Special Uses Handbook Chapter 40- Special Uses Administration, 41.53I- Permits for Institutional and Semi-Public Outfitting and Guiding",,"A highlighted clip of Chapter 40 of FSH 2709.11, the Special Uses Handbook, starting at section 41.53l. The highlighted sections read ""educational institutions, such as schools, colleges and universities"" and ""use furthers the public interest.""",2005-04-14,14 April 2005,permits; education; public interest,,,,Taylor Ranch,b9-031,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-031.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-031_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-031_th.jpg
b2-bighornsheep-030,,b2-BighornSheep-030.pdf,full written proposal on bighorn sheep lambing study,"Akenson, James;Akenson, Holly A.",detailed study outline for NRA Grants-In-Aid about the causes of bighorn sheep mortality and low lamb:ewe rations on Big Creek summer range habitat,1989-01-01,1 January 1989,bighorn sheep; lambing areas; ecology; species conservation; Big Creek; Taylor Ranch Idaho,45.102587,-114.849884,,,b2-BighornSheep-030,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b2-BighornSheep-030.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b2-bighornsheep-030_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b2-bighornsheep-030_th.jpg
b5-uncatagorized-003,,b5-Uncatagorized-003.pdf,"Furbearer management plan, 1986-1990",,Report regarding management plan changes.,1986-1990,1986,wildlife,,,,Taylor Ranch,b5-Uncatagorized-003,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b5-Uncatagorized-003.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b5-uncatagorized-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b5-uncatagorized-003_th.jpg
b4-newsarticles-078,,b4-NewsArticles-078.pdf,Furor in the wilderness,"Richards, Bill;Robison, Ken;Corlett, John",Articles and a newsletter from the Oregon Wilderness Coalition about wilderness designation and designating Hells Canyon as part of the National Wild and Scenic river system.,1975,1975,public lands; public works,47.84593415,-116.5948341,Lewiston Morning Tribune; Oregon Wilderness Coalition,,b4-NewsArticles-078,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,article,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-NewsArticles-078.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-newsarticles-078_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-newsarticles-078_th.jpg
b06-wildernessmanagement24,,b06-WildernessManagement24.pdf,Futures Agenda For Wilderness In The Natural Resource Professions,"Hendee, John C.","Paper discussing the need to bring reasoned, data-based and ecologically based approaches to the future of wilderness related issues.",1988-2000,1988,ecology; land management,,,,Taylor Ranch,b06-WildernessManagement24,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,research paper,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b06-WildernessManagement24.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b06-wildernessmanagement24_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b06-wildernessmanagement24_th.jpg
b9-003,,b9-003.pdf,FWR 404.04 Wilderness Management Course Outline and Associated Correspondence,"Newby, Floyd L.;Walker, Richard I.;Platt, Kenneth B.;Ehrenreich, John H.","A memorandum from F.L. Newby to FWR Faculty, the course outline for FWR 404.04 (Wilderness Management), a letter from Kenneth B. Platt to John Ehrenreich, a copy of ""The Wilderness Concept in Outdoor Recreation"" by Kenneth B. Platt, a copy of ""Some Conservation Facts and Fallacies"" by Kenneth B. Platt, a letter from John H. Ehrenreich to Kenneth B. Platt, a note from Kenneth B.Platt to Dean, and a letter to the Lewiston Tribune, Boise Statesman, and Daily Idahonian editors from Kenneth B. Platt.",1973,1973,public speaking; outlines (documents);wilderness,,,,Taylor Ranch,b9-003,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b9-003.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b9-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b9-003_th.jpg
twrs585,,SER_Patent_1011565.PDF,General Land Office Records for the Lewis Place,"Register of the Land Office, Blackfoot Idaho",Land Records,1928-02-01,1 February 1928,land records; land office; calvin coolidge,,,U.S. Department of the Interior,,SER_Patent_1011565,,,,website,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/SER_Patent_1011565.PDF,https://www.lib.uidaho.edu/digital/objects/twrs/small/ser_patent_1011565_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/ser_patent_1011565_th.jpg
twrs532,,,Geologic control on valley width on Big Creek,"Lifton, Z.",,2005,2005,geology; Big Creek,,,,,,,,,,Text,record,record,,,
twrs556,,Stewart_etal_GeologicaMap_BigCreek_IdahoGeologicSurvey_2013.pdf,"Geologic Map of the Central and Lower Big Creek Drainage, Central Idaho","Stewart, D.E.; Lewis, R.S.; Steward, E.D.; Link, P.K.",Map,2013,2013,Idaho State University; map; Big Creek; geology,,,Idaho Geological Survey,Idaho State University,Stewart_etal_GeologicaMap_BigCreek_IdahoGeologicSurvey_2013,,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/Stewart_etal_GeologicaMap_BigCreek_IdahoGeologicSurvey_2013.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/stewart_etal_geologicamap_bigcreek_idahogeologicsurvey_2013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/stewart_etal_geologicamap_bigcreek_idahogeologicsurvey_2013_th.jpg
b7-geology_soils-013,,b7-Geology_Soils-013.pdf,Geology of Taylor Ranch Area,"Akenson, Holly A.;Lewis, Reed S.","Handwritten research notes on the geology of the Taylor Ranch area, on the River of No Return Wilderness, Idaho.",,,research paper papernotes; geology; quartz (mineral); granite (rock),45.1028,-114.8517,,Taylor Ranch,b7-Geology_Soils-013,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Geology_Soils-013.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-geology_soils-013_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-geology_soils-013_th.jpg
b4-historicalaccounts-017,,b4-HistoricalAccounts-017.pdf,George Anderson,,Excerpt from book on big game hunting in sheepeater County providing a brief biography of Idaho National Forest packer George Anderson,,,Big game hunting; sheepeater country; McCall; Lake Creek,45.56960387,-115.6919841,,,b4-HistoricalAccounts-017,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-HistoricalAccounts-017.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-historicalaccounts-017_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-historicalaccounts-017_th.jpg
b3-twrs_positionreports-053,,b3-TWRS_PositionReports-053.pdf,George Porter's Business Card,University of Idaho,"George Porter, Occupational Safety Specialist, Business Card",,,University of business card,,,,,b3-TWRS_PositionReports-053,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b3-TWRS_PositionReports-053.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b3-twrs_positionreports-053_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b3-twrs_positionreports-053_th.jpg
b4-historicalaccounts-002,,b4-HistoricalAccounts-002.pdf,Glen A. Thompson and E. Lavelle Thompson Biographies,"Preston, Peter;U.S. Department of Agriculture Forest Service",Detailed accounts of the lives and backcountry adventures of Glen and Lavelle Thompson,2001-01-03,3 January 2001,Vern Thompson; Crane Creek; Indian Valley; McCall; Rapid Creek; Paddy Flat Ranger Station; Yellow Pine; Profile Creek,45.26859413,-115.536532,USDA Forest Service Heritage Program,,b4-HistoricalAccounts-002,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b4-HistoricalAccounts-002.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b4-historicalaccounts-002_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b4-historicalaccounts-002_th.jpg
twrs636,,GoatCreek.pdf,Goat Creek Knapweed Project,Author Unkown,Presentation,2009,2009,knapweed;vegetation,,,,,GoatCreek,,,,,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/twrs/GoatCreek.pdf,https://www.lib.uidaho.edu/digital/objects/twrs/small/goatcreek_sm.jpg,https://www.lib.uidaho.edu/digital/objects/twrs/thumbs/goatcreek_th.jpg
b7-weeds-014,,b7-Weeds-014.pdf,Goat Creek Knapweed Project 1999,"Multiple Authors;Bramble, Amie-June",An overview of the plans and objectives for the Goat Creek knapweed removal project in 1999.,1999,1999,Centaurea (genus); comprehensive plans (reports); infestation; removing,45.1028,-114.8517,,Taylor Ranch,b7-Weeds-014,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-014.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-014_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-014_th.jpg
b7-weeds-003,,b7-Weeds-003.pdf,Goat Creek Knapweed Project Data Summary,"Akenson, Holly A.","A letter from Holly Akenson to Clem Pope and Patti Steiger. Attached is a summary report of knapweed site data, as well as Ken Clark's report of knapweed monitoring protocol.",1999-10-21,21 October 1999,Centaurea (genus); correspondence; reports; field notes; infestation,45.1028,-114.8517,,Taylor Ranch,b7-Weeds-003,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-003.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-003_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-003_th.jpg
b7-weeds-021,,b7-Weeds-021.pdf,Goat Creek Knapweed Project Data Summary 1999,,"A summary of the data collected during the Goat Creek knapweed project in 1999, as well as recommendations for the following year.",1999,1999,Centaurea (genus); summaries; data; infestation,45.1028,-114.8517,,Taylor Ranch,b7-Weeds-021,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-021.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-021_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-021_th.jpg
b7-weeds-018,,b7-Weeds-018.pdf,Goat Creek Knapweed Project Plant Density in Random Daubenmire Plots,,"Multiple filled forms for information regarding plant density in random Daubenmire plots for the Goat Creek knapweed project, as well as additional notes.",2008-06-27,27 June 2008,Centaurea (genus); infestation; forms (documents); density,45.1028,-114.8517,,Taylor Ranch,b7-Weeds-018,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-018.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-018_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-018_th.jpg
b7-weeds-016,,b7-Weeds-016.pdf,Goat Creek Knapweed Project Plant Density in Random Daubenmire Plots Forms,,Multiple blank forms for information regarding plant density in random Daubenmire plots for the Goat Creek knapweed project.,,,Centaurea (genus); infestation; blank forms; density,45.1028,-114.8517,,Taylor Ranch,b7-Weeds-016,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-016.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-016_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-016_th.jpg
b7-weeds-017,,b7-Weeds-017.pdf,Goat Creek Knapweed Project Size of Infested Area,,Multiple blank forms for information regarding size of infested area for the Goat Creek knapweed project.,,,Centaurea (genus); infestation; blank forms; area (measurements),45.1028,-114.8517,,Taylor Ranch,b7-Weeds-017,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",https://rightsstatements.org/page/InC-EDU/1.0/?language=en,,text document,Text,application/pdf,pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/b7-Weeds-017.pdf,https://www.lib.uidaho.edu/digital/objects/taylorarchive/small/b7-weeds-017_sm.jpg,https://www.lib.uidaho.edu/digital/objects/taylorarchive/thumbs/b7-weeds-017_th.jpg
