objectid,filename,title,creator,description,date,date_is_approximate,subject,source,identifier,digital_source,format_original,format,type,rights,rightsstatement,language,display_template,object_location,image_small,image_thumb,youtubeid
ha140,ha140.pdf,Correspondence regarding hiring a minority to the Intercultural Programs position,MECHA of the University of Idaho,Letter to Hartung discussing hiring a minority applicant for intercultural programs position.,1974-04-23,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha140.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha140_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha140_th.jpg,
ha240,ha240.pdf,Memorandum regarding the recommendations of Juntura on Minority Student Programs,Robert W. Coonrod,Memorandum from Coonrod (Academic VP) to Faculty Council stating that the recommendation form juntura committee were implemented for 1977-1978 fiscal year.,1977-04-26,,Minority Student Programs,,"UG 37, Box 14, Folder 336",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha240.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha240_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha240_th.jpg,
ha246,ha246.pdf,"Memorandum regarding ""Ethnic/Disadvantaged Student Academic Advisory Program""",Juntura Committee,Memorandum from juntura committee to faculty council concerning administrative responsibilities for minority program director and student coordinators.,1974-03-01,,Minority Student Programs,,"UG 37, Box 14, Folder 336",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha246.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha246_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha246_th.jpg,
ha45,ha45.pdf,Handwritten correspondence from Casson,Ellis H. Casson (President of the NAACP),Letter to Rolland concerning the application of Theresa Williams to the position for the Coordinator of Minority Student Programs.,1974-09-02,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha45.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha45_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha45_th.jpg,
ha49,ha49.pdf,"Memorandum regarding ""Minority Student Programs""",Santiago Estrada,Memorandum to Ramsey concerning going over meeting points from Sep 13 1974 meeting.,1974-09-13,,Black Student Recruitment; Affirmative Action,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha49.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha49_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha49_th.jpg,
ha56,ha56.pdf,Job posting for Coordinator of Minority Student Programs,,Job posting for Coordinator of Minority Student Programs,1974-09-01,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha56.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha56_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha56_th.jpg,
ha57,ha57.pdf,Correspondence regarding application for the position of Coordinator of Minority Student Programs,Siegfried B. Rolland,Correspondence regarding application for the position of Coordinator of Minority Student Programs and discusses the steps necessary.,1974-06-01,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha57.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha57_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha57_th.jpg,
ha62,ha62.pdf,Screening Committee for Coordinator of Minority Student Programs position meeting minutes [1],,Meeting notes for the determination of position requirements for Coordinator of Minority/Ethnic Student Programs.,1974-06-13,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha62.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha62_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha62_th.jpg,
ha63,ha63.pdf,Screening Committee for Coordinator of Minority Student Programs position meeting minutes [2],,Two meeting notes stating position requirements finalized and a letter drafted for the position from June 18 1974 and June 20 1974.,1974-06-18,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha63.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha63_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha63_th.jpg,
ha64,ha64.pdf,Announcement of opening for Coordinator of Minority Student Programs,,Announcement of Opening for Coordinator position edited with 4 out of 7 required staples.,,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha64.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha64_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha64_th.jpg,
ha65,ha65.pdf,Announcement of opening for Director of Minority/Ethnic Student Programs for 1974-75 academic year,,Announcement of Opening for Director of program with qualifications and procedures for 1974-1975.,1974,yes,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha65.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha65_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha65_th.jpg,
ha66,ha66.pdf,Rough draft of job description for Coordinator of Minority Student Programs,,Rough Draft of job description for coordinator for program with marks showing it was edited.,,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha66.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha66_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha66_th.jpg,
ha67,ha67.pdf,Handwritten notes about Coordinator of Minority Student Programs FY 74-75,,Handwritten notes for coordinator position detailing salary and responsibilities. Most likely the previous rough draft to ha66.jpg.,,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha67.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha67_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha67_th.jpg,
ha69,ha69.pdf,Memorandum regarding Coordinator of Minority Student Programs committee,Thomas E. Richardson,Memorandum to Rolland commending him on selecting an applicant for the coordinator position.,1974-09-16,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha69.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha69_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha69_th.jpg,
ha71,ha71.pdf,Minority Student Programs News Report-News Report II,,Page notes that any additional information should be directed to Carmen Loera.  It also includes news about curriculum work; tourism; and a position available at the Idaho Commission of Human Rights.,1975-03-01,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha71.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha71_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha71_th.jpg,
ha74,ha74.pdf,Applying for a Job with Letters and Resumes: Do's and Don'ts in Preparing Them,,"Pamphlet titled ""Applying for a Job with Letters and Resumes: Dos and Don'ts in Preparing Them"" that gives an example resume.",,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha74.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha74_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha74_th.jpg,
ha77,ha77.pdf,"Memorandum regarding ""Minority Student Programs""",Charles A. Ramsey II,Memorandum to Coonrod concerning the fact that departments do not seem to know of existence of the minority programs.,1974-11-25,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha77.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha77_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha77_th.jpg,
ha78,ha78.pdf,"Memorandum regarding ""Publicity of Minority Program""",Susan Burcaw,Memorandum to Ramsay explaining to Ramsey how to expand the visibility of the minority program.,1974-11-29,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha78.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha78_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha78_th.jpg,
ha179,ha179.pdf,"Memorandum regarding ""Discussion on Minority Student's Programs""",Jean Hill,Memorandum to Estrada and Bush concerning April 5 meeting and recruitment of minority students.  It also lists several sub programs under the intercultural program.,1974-04-09,,Black Student Recruitment; Affirmative Action,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha179.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha179_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha179_th.jpg,
ha182,ha182.pdf,Statistics on students receiving federal financial aid during 1973-1974,,Figures of students in 1973-1974 receiving Federal Financial Aid at U of I.,1974-04-01,,Black Student Recruitment; Affirmative Action,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha182.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha182_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha182_th.jpg,
ha183,ha183.pdf,Basic Opportunity Grants,,Basic Opportunity grants slip that gives a brief history of the program and notes the current information for the program.  This includes the financial aspect and the number of students who received the grants.,,,Black Student Recruitment; Affirmative Action,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha183.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha183_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha183_th.jpg,
ha193,ha193.pdf,"Memorandum regarding ""Position Paper Explaining the Attached Ethnic/Disadvantages Academic Advisory Program""",Juntura Committee,"Letter to Faculty Council with the Juntura's position on the position paper on ""Ethnic/Disadvantaged Students at the University of Idaho"" and Juntura's committees responsibilities in regard to the program.",1974-03-11,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha193.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha193_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha193_th.jpg,
ha198,ha198.pdf,"Memorandum regarding ""Ethnic/Disadvantaged Student Academic Advisory Program""",Juntura Committee,Ethnic/Disadvantaged Student Academic Advisory Program page that details director and student coordinator responsibilities.,1974-03-11,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha198.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha198_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha198_th.jpg,
ha201,ha201.pdf,"memorandum regarding ""University Programs for Ethnic Minority Students""",Jean Hill,Memorandum to Frank Young; Harry Davey; Estrada; and Bush concerning upcoming meeting on Dec 5 1973 and discussion points for the meeting.,1973-11-30,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha201.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha201_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha201_th.jpg,
ha202,ha202.pdf,Report on the Status of Minority/Special Programs Students,University of Idaho,Table of contents and figures for report.,1973-11-07,,Black Student Recruitment; Affirmative Action,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha202.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha202_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha202_th.jpg,
ha228,ha228.pdf,"Memorandum regarding ""Advisement for Minority Students""",Juntura Committee and T. Armstrong,Memorandum to Coonrod concerning advertising for minority students and filling the Minority Student Program Advisory position.,1973-03-07,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha228.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha228_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha228_th.jpg,
ha229,ha229.pdf,List of Minority Students 1973-1974,,List of Black Students at the university for 1973-1974 that also includes their college and class.,1973,yes,Black Student Recruitment; Affirmative Action,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha229.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha229_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha229_th.jpg,
ha235,ha235.pdf,Minority Student Curriculum,Career Advisory Program,This is the intro page for the packet.,,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha235.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha235_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha235_th.jpg,
ha239,ha239.pdf,Totals Needed,,Page detailing preparations necessary for minority studies program.,,,Minority Student Programs,,"UG 37, Box 5, Folder 124",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/ha239.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/ha239_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/ha239_th.jpg,
h13_99,h13_99.pdf,"Memorandum regarding ""A Position Paper Relating to the Tentative Proposal to Establish Specialized Educational and Service Programs for 'Minority' and 'Culturally Deprived' Students""",Student Counseling Center Staff,Memorandum that refutes the position held in the mentioned position paper that states no one group has unique issues.,1971-03-03,,Minority Student Programs,,"UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h13_99.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h13_99_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h13_99_th.jpg,
h13_101,h13_101.pdf,Statistics on International Students,,Second Semester 1971-1972,1971-1972,yes,Minority Student Programs; Student Statistics,,"UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h13_101.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h13_101_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h13_101_th.jpg,
h13_105,h13_105.pdf,"Memorandum regarding ""Board Agenda Item on BSU House""",Tom Richardson,"Memorandum to Dr. Carter concerning the ""failure"" of BSU rental and its conversion to just a minorities program center.",1972-06-19,,Black Student Union,,"UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h13_105.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h13_105_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h13_105_th.jpg,
h13_115,h13_115.pdf,The Rationale for the Black Student Union,,Document that states that the BSU is necessary for both acting as a coordinator for Black student life on campus and as a Black Cultural Center.,1971-12-01,,Black Student Union,,"UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h13_115.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h13_115_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h13_115_th.jpg,
h13_116,h13_116.pdf,Addendum to Recommendations Regarding Afro-American Studies at the University of Idaho,BSU,Addendum to recommendations regarding afro-american studies at U of I.,,,Black Studies,,"UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h13_116.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h13_116_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h13_116_th.jpg,
h13_117,h13_117.pdf,Black Studies Program Course Offerings Fall Semester 1971-1972,,Page showcasing courses for the Black Studies Program for the 1971-1972 academic year.,1971-1972,yes,Black Studies,,"UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h13_117.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h13_117_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h13_117_th.jpg,
h13_107,h13_107.pdf,"Memorandum regarding ""BSU House, 1972-1973""",Tom Richardson,Memorandum to Dr. Carter concerning the 706 Deakin Ave house switching from a family housing unit rental for BSU to minorities student center operated under BSU.,1972-06-13,,Black Student Union,,"UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h13_107.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h13_107_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h13_107_th.jpg,
h13_108,h13_108.pdf,Agenda Items,,Discusses further the agenda item mentioned in H13 107.jpg (or har6.jpg).,,,Black Student Union,,"UG 13, Box 22, Folder 527",,,application/pdf,text,"In Copyright. Educational Use only. Educational use includes non-commercial use of text and images in materials for teaching and research purposes. Digital reproduction permissions assigned by University of Idaho Library. For more information, please contact University of Idaho Library Special Collections and Archives Department at libspec@uidaho.edu.",http://rightsstatements.org/vocab/InC-EDU/1.0/,eng,pdf,https://www.lib.uidaho.edu/blackhistory/objects/h13_108.pdf,https://www.lib.uidaho.edu/blackhistory/objects/small/h13_108_sm.jpg,https://www.lib.uidaho.edu/blackhistory/objects/thumbs/h13_108_th.jpg,
